netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
70:C9:4E:00:00:00,Flock-6361,40.76551437,-111.88066864,70:C9:4E,11,wep,2026-01-30T02:00:00.000Z,2026-01-30T01:00:00.000Z,Salt Lake City,UT,US,200 South,84111
70:C9:4E:05:97:4D,,42.30656433,-71.08449554,70:C9:4E,10,wpa2,2026-06-04T01:00:00.000Z,2026-06-03T19:00:00.000Z,Boston,MA,US,Blue Hill Avenue,02121
70:C9:4E:05:9F:10,,36.03699493,-80.38843536,70:C9:4E,1,wpa2,2026-06-02T18:00:00.000Z,2026-06-02T13:00:00.000Z,,NC,US,Jessie Lane,27012
70:C9:4E:05:A0:75,,40.68869019,-73.58950043,70:C9:4E,5,unknown,2025-07-26T12:00:00.000Z,2025-07-27T09:00:00.000Z,,NY,US,Howard Avenue,11575
70:C9:4E:05:B9:85,,30.22080803,-81.56829071,70:C9:4E,8,unknown,2024-08-17T01:00:00.000Z,2024-08-17T14:00:00.000Z,Jacksonville,FL,US,Baymeadows Road,32256
70:C9:4E:08:DF:29,,51.00755692,-0.93752098,70:C9:4E,3,unknown,2026-02-27T12:00:00.000Z,2026-05-07T05:00:00.000Z,East Hampshire,England,GB,Osborne Road,GU32 3EJ
70:C9:4E:09:A6:C4,,42.30261993,-71.11295319,70:C9:4E,6,wpa2,2026-06-05T20:00:00.000Z,2026-07-05T16:00:00.000Z,Boston,MA,US,Pierre Lallement Bike Path,02130
70:C9:4E:0A:1D:91,Alex100,55.73052597,37.60974503,70:C9:4E,11,unknown,2024-06-18T19:00:00.000Z,2026-01-08T10:00:00.000Z,Москва,Москва,RU,улица Крымский Вал,119049
70:C9:4E:0B:41:46,Flock,59.33886719,18.07886314,70:C9:4E,1,wpa2,2026-06-23T10:00:00.000Z,2026-06-23T06:00:00.000Z,,Stockholms län,SE,Kommendörsgatan,114 60
70:C9:4E:0B:5E:B3,<hidden>,43.23965836,-77.4213562,70:C9:4E,3,none,2026-07-13T17:00:00.000Z,2026-07-13T11:00:00.000Z,,NY,US,Morning Glory Drive,14580
70:C9:4E:0B:68:A1,,42.32004166,-71.08156586,70:C9:4E,1,wpa2,2026-06-04T01:00:00.000Z,2026-06-03T19:00:00.000Z,Boston,MA,US,Warren Street,02119
70:C9:4E:0B:74:34,,30.22079659,-81.56845093,70:C9:4E,9,unknown,2024-08-17T01:00:00.000Z,2024-08-17T14:00:00.000Z,Jacksonville,FL,US,Baymeadows Road,32256
70:C9:4E:0B:78:DB,,40.65481949,-73.92494965,70:C9:4E,2,unknown,2025-09-30T07:00:00.000Z,2025-09-30T02:00:00.000Z,City of New York,NY,US,East 56th Street,11203
70:C9:4E:0B:7A:11,,28.35780907,-80.69286346,70:C9:4E,11,wpa2,2026-07-07T23:00:00.000Z,2026-07-14T14:00:00.000Z,,FL,US,East Merritt Island Causeway,32952
70:C9:4E:0B:83:3B,,40.64012527,-73.90202332,70:C9:4E,1,unknown,2025-09-30T03:00:00.000Z,2025-09-29T22:00:00.000Z,City of New York,NY,US,East 93rd Street,11236
70:C9:4E:0B:83:78,,40.81103134,-74.18860626,70:C9:4E,2,unknown,2025-06-06T13:00:00.000Z,2025-07-07T07:00:00.000Z,,NJ,US,Hoover Avenue,07003
70:C9:4E:0C:E9:CF,,-33.83690643,151.03286743,70:C9:4E,3,unknown,2024-05-04T04:00:00.000Z,2024-09-07T07:00:00.000Z,Sydney,New South Wales,AU,Western Motorway,2128
70:C9:4E:0D:D7:93,UE06,51.11280441,17.06424713,70:C9:4E,1,wpa2,2024-09-01T11:00:00.000Z,2024-09-01T05:00:00.000Z,Wrocław,województwo dolnośląskie,PL,Plac Grunwaldzki,50-363
70:C9:4E:12:AD:79,,33.60577393,-86.28606415,70:C9:4E,1,unknown,2026-05-31T00:00:00.000Z,2026-06-03T20:00:00.000Z,,AL,US,I 20,35125
70:C9:4E:14:0F:D9,,-33.95688629,151.07592773,70:C9:4E,6,unknown,2024-07-20T07:00:00.000Z,2024-07-20T06:00:00.000Z,,New South Wales,AU,Stoney Creek Road,2209
